,Source,State,Date,Sample,Biden,Trump,Other,p_hat,sample_sd,Delegates,538 Grade,Mean-Reverted Bias,Bias,Bias_Party,Bias_Numeric,Grade_Bin,Bias_Adjustment
162,Florida Atlantic Univ.,Florida,2020-10-13,644.0,0.52,0.48,0.02,0.52,0.019686991637920526,29,B/C,D +0.4,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
163,Morning Consult,Florida,2020-10-13,4785.0,0.525,0.47500000000000003,0.03,0.525,0.007219140354697022,29,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
164,St. Pete Polls,Florida,2020-10-12,2215.0,0.51,0.49,0.04,0.51,0.010621754583348925,29,C,R +0.4,R +0.9,R,0.009000000000000001,3.0,0.009000000000000001
165,Emerson College,Florida,2020-10-12,690.0,0.515,0.485,0.03,0.515,0.019026107158932652,29,A-,D +0.3,D +0.4,D,0.004,1.0,-0.004
166,Redfield & Wilton,Florida,2020-10-09,998.0,0.525,0.475,0.07,0.525,0.0158074270360169,29,,,,,0.0,,0.0
167,InsiderAdvantage,Florida,2020-10-08,400.0,0.485,0.515,0.11,0.485,0.024988747467610296,29,B-,D +1.1,D +1.8,D,0.018000000000000002,2.0,-0.018000000000000002
168,St. Leo University,Florida,2020-10-07,489.0,0.53,0.47,0.06,0.53,0.02257004547991065,29,C/D,D +1.8,D +8.5,D,0.085,3.0,-0.085
169,Ipsos/Reuters,Florida,2020-10-07,678.0,0.52,0.48,0.06,0.52,0.01918701625892765,29,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
170,Quinnipiac,Florida,2020-10-07,1211.0,0.555,0.445,0.09,0.555,0.014280862099173966,29,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
171,CNBC/Change Research,Florida,2020-10-06,590.0,0.52,0.48000000000000004,0.04,0.52,0.020568199908052896,29,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
172,Suffolk University,Florida,2020-10-06,500.0,0.5,0.5,0.1,0.5,0.022360679774997897,29,A,D +0.6,D +1.0,D,0.01,1.0,-0.01
173,Univ. of North Florida,Florida,2020-10-06,3134.0,0.53,0.47000000000000003,0.04,0.53,0.008915328861266473,29,A/B,D +0.7,D +3.9,D,0.039,1.0,-0.039
174,NY Times / Siena College,Florida,2020-10-03,710.0,0.525,0.475,0.11,0.525,0.01874119511573894,29,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
175,Redfield & Wilton,Florida,2020-10-02,1073.0,0.525,0.475,0.09,0.525,0.015244970753373135,29,,,,,0.0,,0.0
176,Ipsos/Reuters,Florida,2020-09-23,586.0,0.5,0.5,0.06,0.5,0.02065480961930069,29,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
177,CNBC/Change Research,Florida,2020-09-23,702.0,0.515,0.48500000000000004,0.05,0.515,0.018862789913076043,29,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
178,St. Pete Polls,Florida,2020-09-23,2906.0,0.515,0.485,0.03,0.515,0.009271002087001073,29,C,R +0.4,R +0.9,R,0.009000000000000001,3.0,0.009000000000000001
179,ABC News / Wash. Post,Florida,2020-09-23,613.0,0.48,0.52,0.02,0.48,0.02017864747770186,29,A+,D +0.5,D +0.8,D,0.008,1.0,-0.008
180,YouGov/CBS News,Florida,2020-09-20,1205.0,0.51,0.49,0.06,0.51,0.014400899003749126,29,B,D +0.4,D +0.4,D,0.004,2.0,-0.004
181,Redfield & Wilton,Florida,2020-09-18,1158.0,0.515,0.485,0.09,0.515,0.014686564066383707,29,,,,,0.0,,0.0
182,Kaiser Family Foundation,Florida,2020-09-17,1009.0,0.505,0.495,0.15,0.505,0.015739926695149564,29,,,,,0.0,,0.0
183,Monmouth University,Florida,2020-09-15,428.0,0.525,0.47500000000000003,0.05,0.525,0.024138182805647952,29,A+,D +1.3,D +1.8,D,0.018000000000000002,1.0,-0.018000000000000002
184,Florida Atlantic Univ.,Florida,2020-09-15,631.0,0.5,0.5,0.0,0.5,0.019904685716450824,29,B/C,D +0.4,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
185,Benenson / GS Strategy,Florida,2020-09-10,1600.0,0.51,0.49,0.06,0.51,0.012497499749949988,29,B/C,D +0.7,D +3.8,D,0.038,2.0,-0.038
186,St. Pete Polls,Florida,2020-09-09,2689.0,0.515,0.485,0.03,0.515,0.009637826030350303,29,C,R +0.4,R +0.9,R,0.009000000000000001,3.0,0.009000000000000001
187,CNBC/Change Research,Florida,2020-09-09,1144.0,0.515,0.48500000000000004,0.05,0.515,0.014776156137838765,29,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
188,Redfield & Wilton,Florida,2020-09-08,1093.0,0.515,0.485,0.09,0.515,0.015116957874206695,29,,,,,0.0,,0.0
189,NBC News/Marist,Florida,2020-09-08,766.0,0.5,0.5,0.04,0.5,0.018065734338248103,29,,,,,0.0,,0.0
190,Trafalgar Group,Florida,2020-09-04,1022.0,0.48500000000000004,0.515,0.05,0.48500000000000004,0.01563324146642512,29,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
191,Quinnipiac,Florida,2020-09-03,1235.0,0.515,0.485,0.07,0.515,0.014221355897478728,29,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
192,CNBC/Change Research,Florida,2020-08-26,1262.0,0.515,0.48500000000000004,0.05,0.515,0.014068403189569131,29,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
193,Public Policy,Florida,2020-08-25,671.0,0.52,0.48,0.08,0.52,0.019286837901647105,29,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
194,Redfield & Wilton,Florida,2020-08-21,1280.0,0.54,0.45999999999999996,0.1,0.54,0.013930631715755032,29,,,,,0.0,,0.0
195,CNBC/Change Research,Florida,2020-08-12,469.0,0.53,0.47,0.06,0.53,0.023046259218491075,29,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
196,Redfield & Wilton,Florida,2020-07-30,1121.0,0.535,0.46499999999999997,0.11,0.535,0.014897059801268474,29,,,,,0.0,,0.0
197,Mason-Dixon,Florida,2020-07-30,625.0,0.52,0.48000000000000004,0.04,0.52,0.019983993594874874,29,B+,R +0.6,R +0.7,R,0.006999999999999999,2.0,0.006999999999999999
198,CNBC/Change Research,Florida,2020-07-29,865.0,0.515,0.485,0.07,0.515,0.016992858071364157,29,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
199,Morning Consult,Florida,2020-07-28,3760.0,0.515,0.48500000000000004,0.05,0.515,0.008150430741782653,29,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
200,CNN/SSRS,Florida,2020-07-26,880.0,0.525,0.47500000000000003,0.03,0.525,0.01683391463142729,29,B/C,D +1.2,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
201,Quinnipiac,Florida,2020-07-23,924.0,0.5650000000000001,0.435,0.11,0.5650000000000001,0.016309207820745304,29,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
202,St. Pete Polls,Florida,2020-07-23,3018.0,0.53,0.47,0.06,0.53,0.009085048415121557,29,C,R +0.4,R +0.9,R,0.009000000000000001,3.0,0.009000000000000001
203,CNBC/Change Research,Florida,2020-07-15,1128.0,0.535,0.46499999999999997,0.07,0.535,0.014850764719904408,29,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
204,Gravis Marketing,Florida,2020-07-13,529.0,0.55,0.45,0.04,0.55,0.02163016167623087,29,C,D +0.9,D +1.1,D,0.011000000000000001,3.0,-0.011000000000000001
205,YouGov/CBS News,Florida,2020-07-12,1229.0,0.53,0.47,0.1,0.53,0.014236752082037629,29,B,D +0.4,D +0.4,D,0.004,2.0,-0.004
206,Trafalgar Group,Florida,2020-07-03,1072.0,0.5,0.5,0.08,0.5,0.015271180544538153,29,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
207,CNBC/Change Research,Florida,2020-07-01,951.0,0.525,0.47500000000000003,0.05,0.525,0.01619333118179848,29,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
208,Fox News,Florida,2020-06-25,1010.0,0.545,0.455,0.11,0.545,0.015669071509831014,29,A-,D +1.4,D +2.7,D,0.027000000000000003,1.0,-0.027000000000000003
209,Redfield & Wilton,Florida,2020-06-25,1079.0,0.52,0.48,0.14,0.52,0.01520938201258747,29,,,,,0.0,,0.0
210,NY Times / Siena College,Florida,2020-06-25,651.0,0.53,0.47,0.12,0.53,0.01956123945698999,29,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
211,CNBC/Change Research,Florida,2020-06-17,713.0,0.535,0.46499999999999997,0.07,0.535,0.018679214209336024,29,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
212,TIPP Battleground Poll,Florida,2020-06-16,876.0,0.555,0.445,0.09,0.555,0.016790918125786015,29,A/B,R +0.8,R +1.9,R,0.019,1.0,0.019
213,Cygnal,Florida,2020-06-11,881.0,0.515,0.485,0.09,0.515,0.016837845864256736,29,A/B,D +1.0,D +2.6,D,0.026000000000000002,1.0,-0.026000000000000002
214,CNBC/Change Research,Florida,2020-06-03,1186.0,0.515,0.485,0.07,0.515,0.014512162718874446,29,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
215,St. Pete Polls,Florida,2020-05-28,4763.0,0.505,0.495,0.05,0.505,0.007244493010820959,29,C,R +0.4,R +0.9,R,0.009000000000000001,3.0,0.009000000000000001
216,Redfield & Wilton,Florida,2020-05-21,1014.0,0.51,0.49,0.12,0.51,0.015698716639968118,29,,,,,0.0,,0.0
217,Florida Atlantic Univ.,Florida,2020-05-15,928.0,0.53,0.47,0.0,0.53,0.016383733522550074,29,B/C,D +0.4,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
218,Fox News,Florida,2020-04-23,1004.0,0.515,0.485,0.11,0.515,0.01577275754198002,29,A-,D +1.4,D +2.7,D,0.027000000000000003,1.0,-0.027000000000000003
219,Quinnipiac,Florida,2020-04-22,1385.0,0.52,0.48,0.12,0.52,0.013424477885496885,29,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
220,St. Pete Polls,Florida,2020-04-18,5659.0,0.5,0.5,0.04,0.5,0.006646609399135984,29,C,R +0.4,R +0.9,R,0.009000000000000001,3.0,0.009000000000000001
221,Univ. of North Florida,Florida,2020-04-06,3222.0,0.53,0.47000000000000003,0.14,0.53,0.008792737254663468,29,A/B,D +0.7,D +3.9,D,0.039,1.0,-0.039
222,Univision,Florida,2020-03-16,1071.0,0.485,0.515,0.07,0.485,0.015271431497450586,29,B/C,D +0.0,D +1.8,D,0.018000000000000002,2.0,-0.018000000000000002
223,Florida Atlantic Univ.,Florida,2020-03-10,1216.0,0.49,0.51,0.0,0.49,0.014335615383409692,29,B/C,D +0.4,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
224,Univ. of North Florida,Florida,2020-02-20,725.0,0.505,0.495,0.03,0.505,0.01856860531780122,29,A/B,D +0.7,D +3.9,D,0.039,1.0,-0.039
225,Cherry Communications,Florida,2020-01-21,608.0,0.48,0.52,0.06,0.48,0.02026144900517911,29,B/C,R +0.5,R +3.3,R,0.033,2.0,0.033
226,Florida Atlantic Univ.,Florida,2020-01-15,1285.0,0.51,0.49,0.0,0.51,0.013945418895508526,29,B/C,D +0.4,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
227,Emerson College,Georgia,2020-11-01,849.0,0.53,0.47000000000000003,0.04,0.53,0.017129039807047716,16,A-,D +0.3,D +0.4,D,0.004,1.0,-0.004
228,Rasmussen Reports,Georgia,2020-11-01,800.0,0.505,0.495,0.05,0.505,0.017676785624089014,16,C+,R +1.5,R +1.6,R,0.016,3.0,0.016
229,Susquehanna,Georgia,2020-11-01,400.0,0.5,0.5,0.08,0.5,0.025,16,C,D +0.9,D +1.7,D,0.017,3.0,-0.017
230,RMG Research,Georgia,2020-11-01,1200.0,0.52,0.48,0.02,0.52,0.014422205101855956,16,B/C,,,,0.0,2.0,0.0
231,NY Times / Siena College,Georgia,2020-11-01,1451.0,0.515,0.485,0.09,0.515,0.013120209735930952,16,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
232,ABC News / Wash. Post,Georgia,2020-11-01,824.0,0.49,0.51,0.02,0.49,0.017414841343782787,16,A+,D +0.5,D +0.8,D,0.008,1.0,-0.008
233,St. Pete Polls,Georgia,2020-10-30,2758.0,0.505,0.495,0.03,0.505,0.009520311479904517,16,C,R +0.4,R +0.9,R,0.009000000000000001,3.0,0.009000000000000001
234,Trafalgar Group,Georgia,2020-10-30,1088.0,0.485,0.515,0.03,0.485,0.015151653714829865,16,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
235,Public Policy,Georgia,2020-10-30,941.0,0.535,0.465,0.03,0.535,0.016259551268066864,16,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
236,NBC News/Marist,Georgia,2020-10-29,743.0,0.52,0.48,0.02,0.52,0.01832854050488011,16,,,,,0.0,,0.0
237,Hill/Harris,Georgia,2020-10-29,1148.0,0.515,0.485,0.03,0.515,0.014750391242670368,16,,,,,0.0,,0.0
238,Quinnipiac,Georgia,2020-10-29,1324.0,0.515,0.485,0.13,0.515,0.013735057797068849,16,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
239,Monmouth University,Georgia,2020-10-29,509.0,0.525,0.47500000000000003,0.05,0.525,0.02213439038512291,16,A+,D +1.3,D +1.8,D,0.018000000000000002,1.0,-0.018000000000000002
240,NBC News/Marist,Georgia,2020-10-29,743.0,0.52,0.48,0.02,0.52,0.01832854050488011,16,,,,,0.0,,0.0
241,Ipsos/Reuters,Georgia,2020-10-28,704.0,0.51,0.49,0.04,0.51,0.018840689767338426,16,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
242,Susquehanna,Georgia,2020-10-27,400.0,0.48,0.52,0.08,0.48,0.024979991993593593,16,C,D +0.9,D +1.7,D,0.017,3.0,-0.017
243,Florida Atlantic Univ.,Georgia,2020-10-27,937.0,0.51,0.49,0.02,0.51,0.016331020825266992,16,B/C,D +0.4,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
244,RMG Research,Georgia,2020-10-26,800.0,0.51,0.49,0.02,0.51,0.017674133642133636,16,B/C,,,,0.0,2.0,0.0
245,YouGov/CBS News,Georgia,2020-10-25,1228.0,0.51,0.49,0.02,0.51,0.014265399702233903,16,B,D +0.4,D +0.4,D,0.004,2.0,-0.004
246,Rasmussen Reports,Georgia,2020-10-23,800.0,0.48500000000000004,0.515,0.05,0.48500000000000004,0.017669712787705405,16,C+,R +1.5,R +1.6,R,0.016,3.0,0.016
247,St. Pete Polls,Georgia,2020-10-23,2527.0,0.51,0.49,0.04,0.51,0.009944444014574307,16,C,R +0.4,R +0.9,R,0.009000000000000001,3.0,0.009000000000000001
248,Morning Consult,Georgia,2020-10-22,4685.0,0.535,0.465,0.03,0.535,0.007286996649564053,16,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
249,Ipsos/Reuters,Georgia,2020-10-21,662.0,0.52,0.48000000000000004,0.04,0.52,0.019417499193368628,16,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
250,CNN/SSRS,Georgia,2020-10-21,847.0,0.52,0.48000000000000004,0.04,0.52,0.01716645365387876,16,B/C,D +1.2,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
251,Civiqs,Georgia,2020-10-21,863.0,0.52,0.48,0.02,0.52,0.01700657633006867,16,B/C,,,,0.0,2.0,0.0
252,CNBC/Change Research,Georgia,2020-10-20,547.0,0.525,0.47500000000000003,0.05,0.525,0.021351716447321062,16,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
253,Univ. of North Florida,Georgia,2020-10-20,863.0,0.505,0.495,0.05,0.505,0.017019346908071664,16,A/B,D +0.7,D +3.9,D,0.039,1.0,-0.039
254,Hill-HarrisX,Georgia,2020-10-16,965.0,0.5,0.5,0.04,0.5,0.01609556949949126,16,,,,,0.0,,0.0
255,Mason-Dixon,Georgia,2020-10-16,625.0,0.515,0.485,0.07,0.515,0.019990997974088237,16,B+,R +0.6,R +0.7,R,0.006999999999999999,2.0,0.006999999999999999
256,Ipsos/Reuters,Georgia,2020-10-14,653.0,0.51,0.49,0.04,0.51,0.01956259831106131,16,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
257,Trafalgar Group,Georgia,2020-10-14,1051.0,0.49,0.51,0.06,0.49,0.015419907554876959,16,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
258,Florida Atlantic Univ.,Georgia,2020-10-13,644.0,0.52,0.48,0.02,0.52,0.019686991637920526,16,B/C,D +0.4,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
259,Morning Consult,Georgia,2020-10-13,4785.0,0.525,0.47500000000000003,0.03,0.525,0.007219140354697022,16,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
260,St. Pete Polls,Georgia,2020-10-12,2215.0,0.51,0.49,0.04,0.51,0.010621754583348925,16,C,R +0.4,R +0.9,R,0.009000000000000001,3.0,0.009000000000000001
261,Emerson College,Georgia,2020-11-01,749.0,0.495,0.505,0.03,0.495,0.018268688878089544,16,A-,D +0.3,D +0.4,D,0.004,1.0,-0.004
262,Landmark Comm.,Georgia,2020-10-30,750.0,0.495,0.505,0.05,0.495,0.018256505689753448,16,B,D +1.5,D +2.8,D,0.027999999999999997,2.0,-0.027999999999999997
263,Public Policy,Georgia,2020-10-29,661.0,0.51,0.49,0.06,0.51,0.019443856101369696,16,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
264,Monmouth University,Georgia,2020-10-28,504.0,0.525,0.47500000000000003,0.05,0.525,0.02224391302506523,16,A+,D +1.3,D +1.8,D,0.018000000000000002,1.0,-0.018000000000000002
265,Civiqs,Georgia,2020-10-27,1041.0,0.525,0.47500000000000003,0.03,0.525,0.015477509945757988,16,B/C,,,,0.0,2.0,0.0
266,Univ. of Georgia,Georgia,2020-10-26,1145.0,0.505,0.495,0.07,0.505,0.014775614278011471,16,B/C,R +0.3,R +4.1,R,0.040999999999999995,2.0,0.040999999999999995
267,YouGov/CBS News,Georgia,2020-10-25,1090.0,0.5,0.5,0.02,0.5,0.015144563320384568,16,B,D +0.4,D +0.4,D,0.004,2.0,-0.004
268,Landmark Comm.,Georgia,2020-10-23,500.0,0.48,0.52,0.06,0.48,0.022342784070030305,16,B,D +1.5,D +2.8,D,0.027999999999999997,2.0,-0.027999999999999997
269,Morning Consult,Georgia,2020-10-22,1672.0,0.5,0.5,0.04,0.5,0.012227899701112961,16,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
270,NY Times / Siena College,Georgia,2020-10-20,759.0,0.5,0.5,0.1,0.5,0.018148850216015693,16,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
271,Emerson College,Georgia,2020-10-19,506.0,0.495,0.505,0.05,0.495,0.022226599810372137,16,A-,D +0.3,D +0.4,D,0.004,1.0,-0.004
272,Quinnipiac,Georgia,2020-10-14,1040.0,0.535,0.465,0.05,0.535,0.015466309539422478,16,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
273,SurveyUSA,Georgia,2020-10-13,677.0,0.51,0.49,0.06,0.51,0.01921271735398397,16,A,D +0.1,D +0.1,D,0.001,1.0,-0.001
274,Morning Consult,Georgia,2020-10-13,1837.0,0.49,0.51,0.04,0.49,0.011663490767147724,16,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
275,Public Policy,Georgia,2020-10-10,528.0,0.505,0.495,0.07,0.505,0.021758618981911514,16,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
276,Landmark Comm.,Georgia,2020-10-09,600.0,0.49,0.51,0.04,0.49,0.020408331631958553,16,B,D +1.5,D +2.8,D,0.027999999999999997,2.0,-0.027999999999999997
277,Univ. of Georgia,Georgia,2020-10-09,1106.0,0.49,0.51,0.06,0.49,0.015031612258457427,16,B/C,R +0.3,R +4.1,R,0.040999999999999995,2.0,0.040999999999999995
278,Redfield & Wilton,Georgia,2020-10-02,789.0,0.505,0.495,0.11,0.505,0.017799581316902773,16,,,,,0.0,,0.0
279,Landmark Comm.,Georgia,2020-10-01,500.0,0.51,0.49,0.08,0.51,0.022356207191739835,16,B,D +1.5,D +2.8,D,0.027999999999999997,2.0,-0.027999999999999997
280,Civiqs,Georgia,2020-09-29,969.0,0.515,0.485,0.03,0.515,0.016055084486669542,16,B/C,,,,0.0,2.0,0.0
281,Quinnipiac,Georgia,2020-09-29,1125.0,0.515,0.485,0.03,0.515,0.014900410136040626,16,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
282,YouGov/CBS News,Georgia,2020-09-27,1142.0,0.495,0.505,0.07,0.495,0.014795009098363728,16,B,D +0.4,D +0.4,D,0.004,2.0,-0.004
283,NY Times / Siena College,Georgia,2020-09-24,523.0,0.5,0.5,0.1,0.5,0.021863473472331304,16,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
284,Monmouth University,Georgia,2020-09-23,402.0,0.495,0.505,0.07,0.495,0.024936486484846962,16,A+,D +1.3,D +1.8,D,0.018000000000000002,1.0,-0.018000000000000002
285,Univ. of Georgia,Georgia,2020-09-22,1150.0,0.5,0.5,0.06,0.5,0.014744195615489713,16,B/C,R +0.3,R +4.1,R,0.040999999999999995,2.0,0.040999999999999995
286,Redfield & Wilton,Georgia,2020-09-20,800.0,0.495,0.505,0.09,0.495,0.017676785624089014,16,,,,,0.0,,0.0
287,Fabrizio Ward / Hart Research,Georgia,2020-09-10,800.0,0.505,0.495,0.07,0.505,0.017676785624089014,16,,,,,0.0,,0.0
288,Landmark Comm.,Georgia,2020-09-01,500.0,0.46499999999999997,0.535,0.11,0.46499999999999997,0.022305828834634233,16,B,D +1.5,D +2.8,D,0.027999999999999997,2.0,-0.027999999999999997
289,Public Policy,Georgia,2020-08-31,782.0,0.505,0.495,0.07,0.505,0.0178790694757779,16,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
290,Landmark Comm.,Georgia,2020-08-17,500.0,0.49,0.51,0.08,0.49,0.022356207191739835,16,B,D +1.5,D +2.8,D,0.027999999999999997,2.0,-0.027999999999999997
291,SurveyUSA,Georgia,2020-08-11,623.0,0.51,0.49,0.1,0.51,0.020028070189252335,16,A,D +0.1,D +0.1,D,0.001,1.0,-0.001
292,YouGov/CBS News,Georgia,2020-08-02,1109.0,0.505,0.495,0.09,0.505,0.015013519606169408,16,B,D +0.4,D +0.4,D,0.004,2.0,-0.004
293,Monmouth University,Georgia,2020-07-29,402.0,0.5,0.5,0.06,0.5,0.024937733402690822,16,A+,D +1.3,D +1.8,D,0.018000000000000002,1.0,-0.018000000000000002
294,Public Policy,Georgia,2020-07-28,722.0,0.505,0.495,0.09,0.505,0.01860714276219896,16,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
295,Morning Consult,Georgia,2020-07-28,1337.0,0.505,0.495,0.07,0.505,0.013673590987780858,16,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
296,Spry Strategies,Georgia,2020-07-22,700.0,0.48500000000000004,0.515,0.05,0.48500000000000004,0.018889717535511972,16,B/C,R +0.3,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
297,Trafalgar Group,Georgia,2020-07-20,1023.0,0.46499999999999997,0.535,0.07,0.46499999999999997,0.01559428799855313,16,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
298,Public Policy,Georgia,2020-06-29,734.0,0.52,0.48,0.06,0.52,0.018440566583291483,16,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
299,Fox News,Georgia,2020-06-25,1013.0,0.51,0.49,0.08,0.51,0.015706463354794375,16,A-,D +1.4,D +2.7,D,0.027000000000000003,1.0,-0.027000000000000003
300,Public Policy,Georgia,2020-06-16,661.0,0.51,0.49,0.06,0.51,0.019443856101369696,16,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
301,TargetSmart,Georgia,2020-06-03,321.0,0.48000000000000004,0.52,0.16,0.48000000000000004,0.02788494384892937,16,B/C,D +0.6,D +5.3,D,0.053,2.0,-0.053
302,Civiqs,Georgia,2020-05-19,1339.0,0.505,0.495,0.05,0.505,0.013663375378594063,16,B/C,,,,0.0,2.0,0.0
303,Public Opinion Strategies,Georgia,2020-05-12,500.0,0.505,0.495,0.07,0.505,0.0223595617130569,16,B+,R +1.5,R +2.4,R,0.024,2.0,0.024
304,Cygnal,Georgia,2020-05-01,591.0,0.495,0.505,0.11,0.495,0.02056622335644559,16,A/B,D +1.0,D +2.6,D,0.026000000000000002,1.0,-0.026000000000000002
305,Univ. of Georgia,Georgia,2020-03-04,1117.0,0.45999999999999996,0.54,0.06,0.45999999999999996,0.01491245716483127,16,B/C,R +0.3,R +4.1,R,0.040999999999999995,2.0,0.040999999999999995
306,Mason-Dixon,Georgia,2020-01-09,625.0,0.465,0.535,0.05,0.465,0.019950939827486823,16,B+,R +0.6,R +0.7,R,0.006999999999999999,2.0,0.006999999999999999
307,MRG Research,Hawaii,2020-10-16,988.0,0.665,0.335,0.11,0.665,0.015016017089453822,4,B/C,R +2.1,R +5.5,R,0.055,2.0,0.055
308,Axios / SurveyMonkey,Hawaii,2020-10-01,474.0,0.665,0.335,0.01,0.665,0.02167924010376732,4,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
309,MRG Research,Hawaii,2020-08-05,975.0,0.635,0.365,0.15,0.635,0.015418104576047885,4,B/C,R +2.1,R +5.5,R,0.055,2.0,0.055
310,Axios / SurveyMonkey,Idaho,2020-10-17,1364.0,0.4,0.6,0.02,0.4,0.013264730648561457,4,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
311,Spry Strategies,Idaho,2020-09-07,600.0,0.37,0.63,0.06,0.37,0.019710403344427023,4,B/C,R +0.3,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
312,Victory Research,Illinois,2020-11-02,1208.0,0.5800000000000001,0.42,0.08,0.5800000000000001,0.014200550311134876,20,B/C,D +0.0,D +0.3,D,0.003,2.0,-0.003
313,Research Co.,Illinois,2020-11-02,450.0,0.5850000000000001,0.41500000000000004,0.07,0.5850000000000001,0.023227139298673868,20,B-,R +0.5,R +1.1,R,0.011000000000000001,2.0,0.011000000000000001
314,Axios / SurveyMonkey,Illinois,2020-10-17,7469.0,0.615,0.385,0.03,0.615,0.005630366855528603,20,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
315,Victory Research,Illinois,2020-09-28,1208.0,0.5650000000000001,0.43500000000000005,0.07,0.5650000000000001,0.01426380474585286,20,B/C,D +0.0,D +0.3,D,0.003,2.0,-0.003
316,Morning Consult,Indiana,2020-11-02,1147.0,0.445,0.555,0.05,0.445,0.014673874084411426,11,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
317,SurveyUSA,Indiana,2020-10-14,527.0,0.46499999999999997,0.535,0.09,0.46499999999999997,0.021726914726426568,11,A,D +0.1,D +0.1,D,0.001,1.0,-0.001
318,Change Research,Indiana,2020-09-10,1033.0,0.43,0.5700000000000001,0.08,0.43,0.015403573842614544,11,,,,,0.0,,0.0
319,Morning Consult,Indiana,2020-08-05,900.0,0.41500000000000004,0.5850000000000001,0.07,0.41500000000000004,0.016424067705656843,11,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
320,Change Research,Indiana,2020-04-19,1021.0,0.435,0.5650000000000001,0.09,0.435,0.015515150094928777,11,,,,,0.0,,0.0
321,Public Policy,Iowa,2020-11-02,871.0,0.505,0.495,0.03,0.505,0.016941006575429587,6,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
322,Civiqs,Iowa,2020-11-01,853.0,0.505,0.495,0.03,0.505,0.017118817929850108,6,B/C,,,,0.0,2.0,0.0
